id,sector,category,question_ar,answer_ar
EG-SAL-0001,sales,order_status,انا عملت اوردر من خمسه تيام ولحد النهارده ما وصلش، ممكن اعرف حالته ايه؟,طبعًا يا فندم، ابعتلنا رقم الاوردر اللي في رسالة التأكيد وهتلاقيه في تطبيقنا تحت خليفة طلباتي. بنتابع الشحنة مع شركة الشحن ونرد عليك في خلال 24 ساعة. لو اتأكد إنها اتلخبطت هنعملك اعادة ارسال بدون مصاريف او استرجاع الفلوس حسب اختيارك.
EG-SAL-0002,sales,order_status,الاوردر بتاعي اتأكد ولا لسه؟ انا دفعت امس وما جاتليش رسالة.,عادي يا فندم، رسالة التأكيد بتيجي خلال ساعة من الدفع. لو عدى الوقت ابعتلنا رقم التليفون المسجل وهنتأكد من اللينك. شوف برضه فولدر السبام في الايميل عشان ساعات بيروح هناك.
EG-SAL-0003,sales,order_status,عايز الغي الاوردر قبل ما يتشحن، ممكن؟,ايوه طالما لسه الأوردر في مرحلة التحضير ومخرجش من المخزن. افتح التطبيق، اختار الاوردر، ودوس الغاء الطلب. لو عدى على المعاد بيوم بيكون دخل الشحن ومش هينفع الا بعد الاستلام وارجاعه.
EG-SAL-0004,sales,order_status,دخلت على حسابي مش لاقي الاوردر، مع إن الخصم اتخصم من الفيزا.,متقلقش يا فندم، ساعات الأوردر بيبان بعد شوية لو حسابك متسجل بإيميل تاني. ابعتلنا صورة من كشف الحساب بتاع الفيزا مع رقم التليفون وهنظبطهولك. لو الخصم حصل والأوردر ملوش وجود هنعملك استرجاع كامل خلال 3 ايام شغل.
EG-SAL-0005,sales,order_status,انا عملت اوردرين بالغلط وعايز الغيهم.,لو لسه في مرحلة التحضير تقدر تلغيهم من التطبيق مباشرة. لو اتحولوا للشحن هتستلمهم الاول وبعدين تعمل استرجاع من خلال خليفة طلباتي في خلال فترة الارجاع اللي هي 14 يوم.
EG-SAL-0006,sales,order_status,ممكن اعرف موعد التوصيل التقريبي لأوردر؟,طبعًا يا فندم، اكتب رقم الاوردر في الشات وهتلاقي تحت كل أوردر تاريخ التوصيل المتوقع. لو المنطقة عندك خارج تغطية الشحن السريع بيضيف يومين. بنبعتلك رسالة وتحديث على التطبيق اول ما الشحنة تتحرك.
EG-SAL-0007,sales,order_status,الأوردر اتعاد تانيه مرة من غير ما اعرف ليه.,ده بيحصل لو عنوان التوصيل مش واضح او ما حدش رد على مندوب الشحن. بنحاول 3 مرات وبعدين بيرجع للمخزن. ابعتلنا عنوان محدث ورقم بديل وهنعملك اعادة ارسال بدون رسوم او استرجاع حسب رغبتك.
EG-SAL-0008,sales,order_status,حابب اعدل عنوان التوصيل بعد ما اوردرت.,لو الأوردر لسه ما اتحولش للشحن تقدر تعدل من خليفة طلباتي وتعديل العنوان. لو اتحول للشحن متقدرش تعدل بس ممكن تطلب من المندوب على رقمه يوصله على عنوان قريب. الافضل دايماً تعدل قبل خروج الشحنة.
EG-SAL-0009,sales,order_status,الاوردر بتاعي اترجع للمخزن، اعمل ايه؟,حتنزل لك رسالة بالسبب. لو المشكلة في العنوان ابعتلنا عنوان محدث ورقم تليفون يفتح. هنعملك اعادة ارسال بدون رسوم شحن مرة وحدة. لو تاني مرة هتتحمل رسوم الشحن او تختار استرجاع الفلوس.
EG-SAL-0010,sales,order_status,عملت اوردر من اسبوع ولحد دلوقتي مفيش حركة.,ابعتلنا رقم الاوردر وهتأكدلك الحالة. لو في تأخير من المورد او المخزون ناقص هنطمنك بالبديل او الاسترجاع. الفترة العادية للتوصيل من 2 لـ 5 ايام عمل حسب المحافظة.
